PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Paul Millsap,UTA,25,681,1193,57.1,174,460,37.8,397,1058,37.5,51,130,39.2,42,111,37.8,253,704,35.9
Primoz Brezec,MIL,30,30,49,61.2,9,20,45,13,29,44.8,1,6,16.7,1,5,20,7,28,25
Randolph Morris,ATL,24,50,86,58.1,9,22,40.9,20,56,35.7,4,7,57.1,1,3,33.3,3,21,14.3
Rasheed Wallace,BOS,35,483,816,59.2,183,378,48.4,374,934,40,36,92,39.1,37,85,43.5,162,442,36.7
Rasho Nesterovic,TOR,34,146,218,67,38,80,47.5,101,215,47,7,26,26.9,16,26,61.5,56,126,44.4
Robin Lopez,PHX,22,313,571,54.8,137,322,42.5,234,572,40.9,11,52,21.2,21,50,42,97,256,37.9
Ronny Turiaf,GSW,27,295,498,59.2,100,253,39.5,186,469,39.7,27,54,50,17,46,37,100,256,39.1
Roy Hibbert,IND,23,614,1098,55.9,172,439,39.2,536,1344,39.9,38,90,42.2,39,93,41.9,171,486,35.2
Ryan Hollins,MIN,25,428,653,65.5,123,279,44.1,305,718,42.5,33,90,36.7,34,80,42.5,144,386,37.3
Samuel Dalembert,PHI,30,713,1215,58.7,172,450,38.2,446,1086,41.1,44,105,41.9,33,92,35.9,242,575,42.1
Sean Marks,NOH,34,29,41,70.7,6,12,50,13,38,34.2,2,4,50,2,6,33.3,5,23,21.7
Sean May,SAC,26,110,176,62.5,51,98,52,51,171,29.8,5,13,38.5,5,14,35.7,34,86,39.5
Sean Williams,NJN,23,66,129,51.2,18,45,40,46,103,44.7,3,7,42.9,3,7,42.9,23,68,33.8
Shaquille O'Neal,CLE,38,352,605,58.2,111,263,42.2,303,800,37.9,23,59,39,23,49,46.9,110,310,35.5
Shelden Williams,BOS,26,172,319,53.9,46,112,41.1,138,321,43,10,34,29.4,10,31,32.3,41,139,29.5
Solomon Jones,IND,25,225,376,59.8,53,141,37.6,163,402,40.5,11,37,29.7,14,25,56,63,177,35.6
Spencer Hawes,SAC,22,707,1094,64.6,211,526,40.1,426,1073,39.7,31,74,41.9,26,74,35.1,168,475,35.4
Steven Hunter,MEM,28,52,98,53.1,22,45,48.9,36,84,42.9,3,6,50,2,10,20,14,44,31.8
Theo Ratliff,CHA,37,256,489,52.4,80,172,46.5,191,426,44.8,20,43,46.5,16,34,47.1,60,175,34.3
Tony Battie,NJN,34,43,74,58.1,11,28,39.3,30,67,44.8,5,8,62.5,2,7,28.6,10,34,29.4
Troy Murphy,IND,30,795,1360,58.5,214,509,42,586,1418,41.3,53,130,40.8,33,94,35.1,212,584,36.3
Tyson Chandler,CHA,27,372,607,61.3,84,202,41.6,240,593,40.5,28,84,33.3,19,67,28.4,113,328,34.5
Zaza Pachulia,ATL,26,389,637,61.1,100,230,43.5,219,548,40,23,49,46.9,20,49,40.8,92,265,34.7
Zydrunas Ilgauskas,CLE,35,369,665,55.5,100,259,38.6,334,800,41.8,31,82,37.8,18,50,36,115,347,33.1
